Domain,Area,Element,Item,Year,Value
"Crops and livestock products,""Russian Federation"",""Production"",""Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw"",""1992"",""77120"""
"Crops and livestock products,""Russian Federation"",""Production"",""Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw"",""1993"",""25230"""
"Crops and livestock products,""Russian Federation"",""Production"",""Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw"",""1994"",""5990"""
"Crops and livestock products,""Russian Federation"",""Production"",""Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw"",""1995"",""4150"""
"Crops and livestock products,""Russian Federation"",""Production"",""Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw"",""1996"",""750"""
"Crops and livestock products,""Russian Federation"",""Production"",""Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw"",""1997"",""4540"""
"Crops and livestock products,""Russian Federation"",""Production"",""Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw"",""1998"",""13050"""
"Crops and livestock products,""Russian Federation"",""Production"",""Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw"",""1999"",""4930"""
"Crops and livestock products,""Russian Federation"",""Production"",""Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw"",""2000"",""1750"""
"Crops and livestock products,""Russian Federation"",""Production"",""Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw"",""2001"",""1590"""
"Crops and livestock products,""Russian Federation"",""Production"",""Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw"",""2002"",""2920"""
"Crops and livestock products,""Russian Federation"",""Production"",""Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw"",""2003"",""7930"""
"Crops and livestock products,""Russian Federation"",""Production"",""Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw"",""2004"",""11000"""
"Crops and livestock products,""Russian Federation"",""Production"",""Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw"",""2005"",""4030"""
"Crops and livestock products,""Russian Federation"",""Production"",""Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw"",""2006"",""4190"""
"Crops and livestock products,""Russian Federation"",""Production"",""Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw"",""2007"",""2810"""
"Crops and livestock products,""Russian Federation"",""Production"",""Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw"",""2008"",""7590"""
"Crops and livestock products,""Russian Federation"",""Production"",""Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw"",""2009"",""11200"""
"Crops and livestock products,""Russian Federation"",""Production"",""Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw"",""2010"",""7710"""
"Crops and livestock products,""Russian Federation"",""Production"",""Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw"",""2011"",""13041"""
"Crops and livestock products,""Russian Federation"",""Production"",""Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw"",""2012"",""6123"""
"Crops and livestock products,""Russian Federation"",""Production"",""Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw"",""2013"",""5689"""
"Crops and livestock products,""Russian Federation"",""Production"",""Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw"",""2014"",""29251"""
"Crops and livestock products,""Russian Federation"",""Production"",""Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw"",""2015"",""99869.1"""
"Crops and livestock products,""Russian Federation"",""Production"",""Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw"",""2016"",""89260"""
"Crops and livestock products,""Russian Federation"",""Production"",""Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw"",""2017"",""48488"""
"Crops and livestock products,""Russian Federation"",""Production"",""Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw"",""2018"",""10146"""
"Crops and livestock products,""Russian Federation"",""Production"",""Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw"",""2019"",""37577.9"""
"Crops and livestock products,""Russian Federation"",""Production"",""Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw"",""2020"",""36926.1"""
"Crops and livestock products,""Russian Federation"",""Production"",""Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw"",""2021"",""90062.6"""
"Crops and livestock products,""Russian Federation"",""Production"",""Apples"",""1992"",""1787000"""
"Crops and livestock products,""Russian Federation"",""Production"",""Apples"",""1993"",""1623400"""
"Crops and livestock products,""Russian Federation"",""Production"",""Apples"",""1994"",""1142300"""
"Crops and livestock products,""Russian Federation"",""Production"",""Apples"",""1995"",""1200000"""
"Crops and livestock products,""Russian Federation"",""Production"",""Apples"",""1996"",""1800000"""
"Crops and livestock products,""Russian Federation"",""Production"",""Apples"",""1997"",""1500000"""
"Crops and livestock products,""Russian Federation"",""Production"",""Apples"",""1998"",""1330000"""
"Crops and livestock products,""Russian Federation"",""Production"",""Apples"",""1999"",""1060000"""
"Crops and livestock products,""Russian Federation"",""Production"",""Apples"",""2000"",""1832000"""
"Crops and livestock products,""Russian Federation"",""Production"",""Apples"",""2001"",""1640000"""
"Crops and livestock products,""Russian Federation"",""Production"",""Apples"",""2002"",""1950000"""
"Crops and livestock products,""Russian Federation"",""Production"",""Apples"",""2003"",""1700000"""
"Crops and livestock products,""Russian Federation"",""Production"",""Apples"",""2004"",""2026000"""
"Crops and livestock products,""Russian Federation"",""Production"",""Apples"",""2005"",""1786000"""
"Crops and livestock products,""Russian Federation"",""Production"",""Apples"",""2006"",""1626000"""
"Crops and livestock products,""Russian Federation"",""Production"",""Apples"",""2007"",""2342000"""
"Crops and livestock products,""Russian Federation"",""Production"",""Apples"",""2008"",""1122400"""
"Crops and livestock products,""Russian Federation"",""Production"",""Apples"",""2009"",""1441200"""
"Crops and livestock products,""Russian Federation"",""Production"",""Apples"",""2010"",""992000"""
"Crops and livestock products,""Russian Federation"",""Production"",""Apples"",""2011"",""1198000"""
"Crops and livestock products,""Russian Federation"",""Production"",""Apples"",""2012"",""1403000"""
"Crops and livestock products,""Russian Federation"",""Production"",""Apples"",""2013"",""1573000"""
"Crops and livestock products,""Russian Federation"",""Production"",""Apples"",""2014"",""1624000"""
"Crops and livestock products,""Russian Federation"",""Production"",""Apples"",""2015"",""1612700"""
"Crops and livestock products,""Russian Federation"",""Production"",""Apples"",""2016"",""1701100"""
"Crops and livestock products,""Russian Federation"",""Production"",""Apples"",""2017"",""1493600"""
"Crops and livestock products,""Russian Federation"",""Production"",""Apples"",""2018"",""1859400"""
"Crops and livestock products,""Russian Federation"",""Production"",""Apples"",""2019"",""1950800"""
"Crops and livestock products,""Russian Federation"",""Production"",""Apples"",""2020"",""2040700"""
"Crops and livestock products,""Russian Federation"",""Production"",""Apples"",""2021"",""2216200"""
"Crops and livestock products,""Russian Federation"",""Production"",""Apricots"",""1992"",""55500"""
"Crops and livestock products,""Russian Federation"",""Production"",""Apricots"",""1993"",""55200"""
"Crops and livestock products,""Russian Federation"",""Production"",""Apricots"",""1994"",""41900"""
"Crops and livestock products,""Russian Federation"",""Production"",""Apricots"",""1995"",""40000"""
"Crops and livestock products,""Russian Federation"",""Production"",""Apricots"",""1996"",""70000"""
"Crops and livestock products,""Russian Federation"",""Production"",""Apricots"",""1997"",""57000"""
"Crops and livestock products,""Russian Federation"",""Production"",""Apricots"",""1998"",""38000"""
"Crops and livestock products,""Russian Federation"",""Production"",""Apricots"",""1999"",""50000"""
"Crops and livestock products,""Russian Federation"",""Production"",""Apricots"",""2000"",""67000"""
"Crops and livestock products,""Russian Federation"",""Production"",""Apricots"",""2001"",""50000"""
"Crops and livestock products,""Russian Federation"",""Production"",""Apricots"",""2002"",""60740"""
"Crops and livestock products,""Russian Federation"",""Production"",""Apricots"",""2003"",""75230"""
"Crops and livestock products,""Russian Federation"",""Production"",""Apricots"",""2004"",""80100"""
"Crops and livestock products,""Russian Federation"",""Production"",""Apricots"",""2005"",""72000"""
"Crops and livestock products,""Russian Federation"",""Production"",""Apricots"",""2006"",""39000"""
"Crops and livestock products,""Russian Federation"",""Production"",""Apricots"",""2007"",""78000"""
"Crops and livestock products,""Russian Federation"",""Production"",""Apricots"",""2008"",""57500"""
"Crops and livestock products,""Russian Federation"",""Production"",""Apricots"",""2009"",""60000"""
"Crops and livestock products,""Russian Federation"",""Production"",""Apricots"",""2010"",""51000"""
"Crops and livestock products,""Russian Federation"",""Production"",""Apricots"",""2011"",""60000"""
"Crops and livestock products,""Russian Federation"",""Production"",""Apricots"",""2012"",""57000"""
"Crops and livestock products,""Russian Federation"",""Production"",""Apricots"",""2013"",""62000"""
"Crops and livestock products,""Russian Federation"",""Production"",""Apricots"",""2014"",""62000"""
"Crops and livestock products,""Russian Federation"",""Production"",""Apricots"",""2015"",""60000"""
"Crops and livestock products,""Russian Federation"",""Production"",""Apricots"",""2016"",""60700"""
"Crops and livestock products,""Russian Federation"",""Production"",""Apricots"",""2017"",""53300"""
"Crops and livestock products,""Russian Federation"",""Production"",""Apricots"",""2018"",""66300"""
"Crops and livestock products,""Russian Federation"",""Production"",""Apricots"",""2019"",""69600"""
"Crops and livestock products,""Russian Federation"",""Production"",""Apricots"",""2020"",""72800"""
"Crops and livestock products,""Russian Federation"",""Production"",""Apricots"",""2021"",""79100"""
"Crops and livestock products,""Russian Federation"",""Production"",""Barley"",""1992"",""26988750"""
"Crops and livestock products,""Russian Federation"",""Production"",""Barley"",""1993"",""26843080"""
"Crops and livestock products,""Russian Federation"",""Production"",""Barley"",""1994"",""27054390"""
"Crops and livestock products,""Russian Federation"",""Production"",""Barley"",""1995"",""15786300"""
"Crops and livestock products,""Russian Federation"",""Production"",""Barley"",""1996"",""15913059"""
"Crops and livestock products,""Russian Federation"",""Production"",""Barley"",""1997"",""20752192"""
"Crops and livestock products,""Russian Federation"",""Production"",""Barley"",""1998"",""9764918"""
"Crops and livestock products,""Russian Federation"",""Production"",""Barley"",""1999"",""10576009"""
